id,datas,url
82,工程施工产品机械安装工业地产三维动画制作3D演示视频,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
83,flash动画二三维MG逐帧手绘产品AE科普动画制作设计,服务内容全部包含:【二维动画】 【影视制作】 【三维动画】 1、品牌推广 1、企业宣传 1、产品推广 2、产品宣传 2、产品广告 2、品牌形象 3、活动开场 3、政府汇报 3、工业流程 4、流程讲解 4、专题记录 4、医疗设备 5、政策科普 5、活动暖场 5、裸眼3D 6、电商营销 6、品牌形象 6、片头演绎 7、教育课件 7、剪辑合成 7、展厅折幕【独角兽】服务优势:【九大优势】 1选经验：各行业知名龙头企业服务经验 2选成员：员工均实战经验均超百余项目 3选标准：广告公司标准化服务流程体系 4选服务：项目群技术人员实时沟通交流 5选效果：珠三角品质把控比您更高要求 6选速度：工单智能化严格把握进度流程 7选创意：策划小组头脑风暴创意点集合 8选实力：安妮奖团队美术硬核介入项目 9选声誉：十年用心服务客户99%亲和度【独角兽】服务前需客户提供的信息:【独角兽-沟通所需资料】 【1关于项目的文稿资料】 【2关于项目的图片资料】 【3如有解说词脚本更好】 【4对标参考样片及预期】 【5预算控制标准及描述】其他:【独角兽-合作流程】 创意策划：制片主任带队进行创意策划，形成精美格式汇报方案 美术风格：遵循方案要求进行美术设计，搭配场景内容风格配色 动画制作：理解画面内容深度价值意义，创造灵活自然感官动效 品质把控：导演制片内部团队双重审核，严格要求项目出品质量 初稿提交：约定工期之前发送初稿样片，守时保质完成甲方要求
84,其他动画制作3d产品三维营销短视频数码抖音电商营销推广,服务内容全部包含:3d产品三维营销短视频视频动画数码产品抖音电商平台营销推
85,mg动画制作设计二维AE动画GIF动画动态图片头制作,服务内容全部包含:影视制作：广告片、微电影、宣传片、专题片、纪录片、短视频、社交媒体视频、微课慕课、电商推广视频配音配乐、剪辑服务、场景搭建、画面校色、字幕添加、影视特效、片头片尾制作二维动画：企业宣传、企业招聘、产品宣传、科普教育、工艺宣传、商业汇报、知识培训三维动画：工程动画、机器动画、医学动画、系统原理动画、生产工艺动画、生产流程动画、影视动画、产品动画、城市漫游动画、建筑动画、展厅服务优势:1.知名各行业龙头企业服务经验 2.主创团队来源于原央视纪录片频道3.南京师范大学新传院教授坐镇指导4.员工来源于国内知名艺术、传媒、戏剧类高校5.项目组群实时沟通，在线交流反馈6.流程化服务，严格把控进度与质量7.可联动电视广告播出及媒体宣传推广服务前需客户提供的信息:1.有关项目的文件文稿2.有关项目的图片视频素材资料3.对标参考样片及预期效果4.项目预算与制作周期需求5.使用场景及目标针对人群6.所在行业的其他特殊需求
86,产品动画三维医学医疗机械原理施工演示演绎3d视频CG制作,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
87,产品动画三维医学医疗工业建模机械原理演示演绎3d视频制作,服务内容全部包含:【二维动画】 【三维动画】1、品牌推广 1、产品演示推广2、产品宣传 2、生产工艺3、活动开场 3、工业流程4、流程讲解 4、医疗设备5、政策科普 5、工程施工6、电商营销 6、片头演绎7、教育课件 7、机器机械演示服务优势:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，UI设计，游戏美术设计，品牌设计，空间设计，3D建模，产品外观设计。服务8年，服务企业超过1000家，秉承以互联网传播思维，切实为客户带来设计商业价值。 合作客户包含腾讯、中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经。服务前需客户提供的信息:1 提供产品或企业资料信息，后期用途。2 需要您明确视频需要做多长时间，几分钟；3 如果需要旁白/解说词，如果无法提供，可以简单提供解说文稿或我们根据您提供的资料进行撰写，也可以根据您提供的解说词进行润泽拔高；4 尺寸一般情况下高清尺寸，如果您有特殊要求，可以说明；5 初步沟通后，我们会专门为您列举该合作所需要的前期资料表发您。
88,mg动画制作flash短视频设计动漫广告短片二三维动画制,服务内容全部包含:①　负责移动游戏项目（休闲类游戏）原画设计工作。②　根据需求完成美术设计工作。③　配合程序、策划、运营等人员完成游戏的设计开发工作。④　手绘能力强，能独立设计原画，角色和场景，能独立负责游戏的概念美术设计。⑤　优秀的合作能力，能与制作人，美术人员，程序，策划和运营沟通合作，能够接受有关工作的不同意见及反馈。⑥　擅长欧美画风。服务优势:1.根据策划文案完成二维原画设计；2.主要负责角色设定、角色立绘、角色插画、美宣插画；3.二次元风格优先，擅长韩风、和风、赛璐璐、伪厚涂以及国风方向优先，厚涂、写实、欧美亦可；8.项目对标范围有《阴阳师》、《百闻牌、《白夜极光》、《三国志幻想大陆》、《公主连结》、《明日方舟》等。服务前需客户提供的信息:【前期沟通所需资料】①　提供项目所需要文档及资料。②　沟通项目的图片资料和解说词，乙方可以提供策划方案。③　使用场景及针对人群，解说脚本准备。④　对标参考样片及预期案例。⑤　评估预算费用及时间。⑥　公司领导验收期望结果。⑦　感谢您选择湾流动画店铺，在猪八戒平台下单。
89,MG动画科普视频制作flash医疗微课PPT施工三维设计,服务内容全部包含:我们拥有12年丰富的设计经验，专注于动画设计，洞察客户需求是我们的基本手册，我们拒绝廉价，只为您提供合适您的作品，让我们用动画视频为您赢得众多客户的信赖。服务优势:我们拥有12年丰富的设计经验，专注于动画设计，洞察客户需求是我们的基本手册，我们拒绝廉价，只为您提供合适您的作品，让我们用动画视频为您赢得众多客户的信赖。服务前需客户提供的信息:我们拥有12年丰富的设计经验，专注于动画设计，洞察客户需求是我们的基本手册，我们拒绝廉价，只为您提供合适您的作品，让我们用动画视频为您赢得众多客户的信赖。其他:创意动画制作流程： 1、风格初定、脚本创作：您提供相关资料，我们理解资料中相关内容开始创作脚本并和您确定一下大致风格和表现形式。脚本完成后给您确认，如脚本有问题在根据修改意见做调整，此阶段退款可退项目总费用的95%。 2、静态分镜：根据脚本中的内容，把内容形成线稿分镜画面，附上动作描述，您即可在动画制作之前了解动画制作的方案和设计思路。分镜制作期间，如果脚本有问题，可以适当做调整，但不支持翻案或大
90,三维产品演示工业流程安全生产3D角色建筑施工工艺投标动画,服务内容全部包含:精细高效设计团队，深耕数字动画设计行业10余年。专注3D数字动画、展馆互动多媒体、方案效果图、虚拟仿真等解决方案。工程施工动画；机械原理动画；智能制造动画；工业流程动画；产品演绎动画；地产建筑动画；事故救援动画；影片剪辑包装；flash动画；医疗三维动画；数字孪生；VR动画等。服务优势:1.知名各行业龙头企业服务经验2.主创团队来源于专业动画制作公司3.知名大学教授坐镇指导4.流程化服务，严格把控进度与质量5.项目组群实时沟通，在线交流反馈十余年行业经验成功项目数不低于1000件华为、腾讯、阿里巴巴、阿里云、京东、vivo、中科院、中国电信、中国移动、中国联通、深圳地铁、碧桂园、万科等众多知名品牌服务前需客户提供的信息:1.有关项目的文件文稿2.有关项目的图片视频素材资料3.对标参考样片及预期效果4.项目预算与制作周期需求5.使用场景及目标针对人群6.所在行业的其他特殊需求视频的用途每一条视频都有它的营销价值；清晰洞察其用途，反向定位如何制作视频更为重要。产品类型：产品手册等相关信息详情请咨询右侧客服!
91,二维动画MG动画制作企业宣传片科普动画视频AE动画广告,服务内容全部包含: 亦北品牌设计是一家集品牌全案设计，产品设计，室内设计，软件培训为一体的全案的设计公司，我们致力于0到1，从logo设计，包装设计，ip设计，线上线下宣传物料等多领域的研究与实践。为近千家企业提供了good的服务并得到一致好评。多年的设计积累了丰富的设计经验和电商行业运营的洞察力。 公司坚持“用心创造价值”的理念，结合客户的需求，从good的服务和完美的质量出发，不断探索，不断实践，服务优势:我们的服务范围：亦北设计有限公司专业服务打造 very good的企业形象，从品牌设计到产品研发，以及产品包装，电商运营，室内设计，景观设计等综合服务为一体的设计企业，坚持高质量的设计，一站式服务携手客户成为品牌的创造者。我们站在市场的角度，根据企业的品牌战略，创造出具有市场价值的设计作品。服务前需客户提供的信息:logo，脚本
92,二维mg动画制作设计手绘动画片头制作产品广告宣传脚本制作,服务内容全部包含:影视制作：广告片、微电影、宣传片、专题片、纪录片、短视频、社交媒体视频、微课慕课、电商推广视频配音配乐、剪辑服务、场景搭建、画面校色、字幕添加、影视特效、片头片尾制作二维动画：企业宣传、企业招聘、产品宣传、科普教育、工艺宣传、商业汇报、知识培训三维动画：工程动画、机器动画、医学动画、系统原理动画、生产工艺动画、生产流程动画、影视动画、产品动画、城市漫游动画、建筑动画、展厅动画、裸眼服务优势:1.知名各行业龙头企业服务经验 2.主创团队来源于原央视纪录片频道3.南京师范大学新传院教授坐镇指导4.员工来源于国内知名艺术、传媒、戏剧类高校5.项目组群实时沟通，在线交流反馈6.流程化服务，严格把控进度与质量7.可联动电视广告播出及媒体宣传推广服务前需客户提供的信息:1.有关项目的文件文稿2.有关项目的图片视频素材资料3.对标参考样片及预期效果4.项目预算与制作周期需求5.使用场景及目标针对人群6.所在行业的其他特殊需求其他:工作流程：咨询沟通——顾问跟进——项目组成立——文案创作——分镜脚本——勘景拍摄——样片制作——意见反馈——后期调整——品控审核——交付成片——售后跟踪
93,二维动画制作flash动画宣传片制作网站，自媒体,服务内容全部包含: 亦北品牌设计是一家集品牌全案设计，产品设计，室内设计，软件培训为一体的全案的设计公司，我们致力于0到1，从logo设计，包装设计，ip设计，线上线下宣传物料等多领域的研究与实践。为近千家企业提供了good的服务并得到一致好评。多年的设计积累了丰富的设计经验和电商行业运营的洞察力。服务优势:公司坚持“用心创造价值”的理念，结合客户的需求，从good的服务和完美的质量出发，不断探索，不断实践，追求 very good，我们始终坚持用设计为客户解决问题，用设计为客户创造出品牌价值和商业价值。服务前需客户提供的信息:我们的服务范围：亦北设计有限公司专业服务打造 very good的企业形象，从品牌设计到产品研发，以及产品包装，电商运营，室内设计，景观设计等综合服务为一体的设计企业，坚持高质量的设计，一站式服务携手客户成为品牌的创造者。我们站在市场的角度，根据企业的品牌战略，创造出具有市场价值的设计作品。其他:如果您也和我们一样，拥有把产品做到极致的“用心创造价值”的心态，拥有开创 very good品牌的心态，就来找我们，我们会竭尽全力为您创造属于您和您品牌的辉煌。我们的价格不一定是最低的，但是我们敢确保我们的服务态度和作品的质量是棒棒的，亦北设计相信今天的合作，就是明天你我的共赢！亦北设计针对合作过的客户，可以提供全年的设计任务，日常设计，作图中遇到的问题，免费解决。一次合作，就可以享受拥有自己
94,mg飞碟说银行科普教育产品宣传政府二维flash动画制作,服务内容全部包含:每个梦想，鼎力相助！ 易扬设计提供专业的动画设计，影视制作，UI设计，游戏美术设计，空间设计，3D建模，产品外观设计，餐饮vi设计。服务8年，服务企业超过1000家，秉承以互联网传播思维切实为合作客户带来设计商业价值。服务优势:合作客户包含中国石油、电网、交通银行、北京银行、深圳海关、中科院、同花顺、知识产权出版社、华润、华夏航空、海尔集团、吉比特、川仪股份等大中小企业。团队设计师平均5年以上工作经验。服务前需客户提供的信息:提供原型或者文档描述，欣赏的参考风格。
95,工业工程动画二维三维动画制作设计视频制作,服务内容全部包含:小二郎文化传媒旗下拥有“ 品牌策划运营”“影视拍摄制作”“动画动漫创作” “美术视觉设计“四大业务板块，共计7大类超过50项产品服务，为企业提供贯穿品牌宣传推广全生命周期的内容制作解决方案。我们的客户遍布全球数十个国家和地区，覆盖超过30个细分行业领域，9000＋服务经验，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业，40多家世界500强。我们的客服24小时在线，欢迎咨询~服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户需求要求和文档其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
96,企业宣传片视频剪辑制作MG动画AE配音三维特效,服务内容全部包含:定制化设计 ，一对一沟通，修改不限制次数，定稿交付源文件和高清JPG图片格式，期待与您的合作，让我们为您量身定制您需要的产品设计。服务优势:思博设计团队成员都毕业于各大高校美院，设计师队伍也在不断的发展壮大 现在拥有30多名专业人才 服务于各行各业 深受好评和信赖 我们的经营理念是 用高标准的要求和高质量的作品 用心服务好每一位客户 和您一起共创辉煌服务前需客户提供的信息:具体的需求内容 包含 文字内 容 尺寸 logo 风格参考等设计所需要的素材这些 ，风格参考尤为重要，这个是能快速了解您的喜好，有助于设计师下一步的创作思路不跑偏。
97,影视动画企业二维三维产品动画宣传片制作剪辑,服务内容全部包含:小二郎文化传媒旗下拥有“ 品牌策划运营”“影视拍摄制作”“动画动漫创作” “美术视觉设计“四大业务板块，共计7大类超过50项产品服务，为企业提供贯穿品牌宣传推广全生命周期的内容制作解决方案。我们的客户遍布全球数十个国家和地区，覆盖超过30个细分行业领域，9000＋服务经验，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业，40多家世界500强。我们的客服24小时在线，欢迎咨询~服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户需求要求和文档其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
98,MG动画宣传片二维动画视频制作flash动画AE宣传片,服务内容全部包含:【二维动画】|【影视制作】 | 【三维动画】1、品牌推广 | 1、企业宣传 | 1、产品推广2、产品宣传 | 2、产品广告 | 2、品牌形象3、活动开场 | 3、政府汇报 | 3、工业流程4、流程讲解 | 4、专题记录 | 4、医疗设备5、政策科普 | 5、活动暖场 | 5、片头演绎6、教育课件 |6、剪辑合成 | 6、展厅折幕服务优势:公司介绍：观今动漫从事动画设计十余年有着丰富的动画设计经验和不计其数优秀的动画作品；我们的员工均科班毕业，人均实战超百余项目；我们服务过的客户超30000余位，服务过的城市超300余个。我们已与滴滴、腾讯、爱奇艺、大众点评、中国移动、中国建设银行、中国银行、中国邮政、中国平安、携程旅游、大众点评、顺丰速递、周大福珠宝等客户达成深度合作。服务前需客户提供的信息:【1提供项目制作需要的相关文档】【2有文案解说词提供文案解说词】【3改动画使用的场景及针对人群】【4项目的对标参考样片及预期】【5领导要求及期望效果】【注意】因广告宣传属于定制化方案，各行业之间所需资料大不相同，具体可联系本店客服进一步咨询其他:合作流程：前期需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-分镜制作\动画小样-动画制作-交付样片-调整完善-品控审核-交付成片
99,抖音短视频虚拟主播偶像二次元3D数字人动态直播特效开发,服务内容全部包含:抖音虚拟主播ai生成人工智能数字虚拟元宇宙短视频抖音3D虚拟主播虚拟主播偶像二次元数字人数字人动态捕捉直播特效开发服务优势:1、10余年行业经验，专属定制化服务2、标准化技术管理，人员分工明确，源码文件全部提供3、根据客户需求提供定制化的游戏开发服务，产品开发无忧4、各种大型企业案例，上千款成熟案例供您选择，涉及各行业5、技术积累，Java、python、C、C++、PHP等10余种主流语言6、实体线下公司40+专业技术团队，项目经理一对一服务，专职需求分析师免费出落地方案服务前需客户提供的信息:具体内容沟通请联系我们：手机登录用户：点击下方【立即咨询】电脑登录用户：点击右侧【电话联系】【微信咨询】【在线咨询】均可咨询免费获取需求分析师一对一专属定制方案，项目经理一对一解决您提出的技术问题其他:万创是一家致力于移动互联网软件技术开发的公司，为您提供高端管理系统软件，游戏开发、APP开发，小程序定制，高品质网站设计等服务，目前公司拥有40余名国内优秀有经验的研发工程师，并且拥有丰富的成功案例和行业经验，我们将与您面对面沟通需求，原型对接清晰直观，项目经理一对一服务，专职需求分析师免费出落地方案，个性化定制，从不套模板，确保高品质软件交付，为客户创造优质软件体验。
100,【三维动画】三维动画制作 产品动画 建筑动画3D动画制作,服务内容全部包含:山东畅特文化传媒有限公司（简称：畅特文化传媒），是一家专业从事数字影像技术在营销领域应用开发的影视制作机构。畅特文化传媒现有业务范围涉及三维动画、产品创意动画、工业动画、设备动画、工程动画、施工动画、安装演示动画、建筑动画、医疗器械动画、工厂流水线演示动画、二维动画、政府宣传动画、企业宣传片拍摄、产品宣传片、广告片、形象片、影视制作、影视后期包装、视频制作等。 　　
101,专业次世代全流程三维建模动画制作,服务内容全部包含:基础版服务：根据客户提供的三维模型及贴图进行简易骨骼绑定，根据客户提供的明确的分镜脚本产出30s完整2k动画。标准版服务：根据客户提供的三视设计图满足少量建模需求，针对动画分镜脚本提出专业建议，进行骨骼绑定和材质贴图制作，产出60s完整2k动画，交付工程文件。高级版服务：根据客户实际需求定制相关模型，提供最周到的商业级动画全流程服务，按需定制内容，产出不多于150s完整4k动画，交付工程文件。服务优势:本公司拥有专业建模师团队和丰富的3D制作经验，服务领域涵盖建模、三维动画、材质贴图、3D扫描、文物数字修复、游戏动画、平面设计等。曾与南开大学及博物馆等机构合作，曾获全国元宇宙职业技术大赛综合赛道头奖、NCDA全国一等奖。作为服务商，我们秉持时间就是金钱的理念，按期完成高质量交付，保障客户利益，达成互利共赢。服务前需客户提供的信息:基础版服务：需要提供完整模型、贴图，以及明确的描述分镜脚本。标准版服务：需要提供清晰的模型设计图，以供本司满足客户模型需求，需要清晰的展示需求。高级版服务：需要客户清晰的展示思路，我们将提供定制化服务。其他:在初期阶段提供五次咨询修改的机会，动画内容按秒数确认成片，项目中期通过确认部分的成片不予修改，未确认部分变更想法修改三次，后续按200元/次进行额外的变更。
102,短视抖音3D虚拟主播偶像二次元数字人动态直播特效开发,服务内容全部包含:抖音虚拟主播ai生成人工智能数字虚拟元宇宙短视频抖音3D虚拟主播虚拟主播偶像二次元数字人数字人动态捕捉直播特效开发服务优势:1 无费用出方案，不满意退款！2 7-10天交付上线，速度快，有保障，价格低！3 上百款游戏模版任选，成本更低；4 项目经理全程跟随对接，一条龙服务；5 项目实测，全程教学。一站式服务，让您解除一切后顾之忧！服务前需客户提供的信息:云创游科技是成熟的游戏开发公司之一，以实惠的价格提供端到端的游戏开发服务。我们的 50 多名团队拥有开发业内成熟游戏的经验，包括各种2D/3D游戏、NFT区块链/元宇宙游戏、AR/VR/MR游戏等。在过去的十年中，我们使用 Unity3D、cocos、Unreal、LayaBox，白鹭，Flash，Vue，nodejs，Java，PHP等成熟开发技术为移动、PC 和 Web 开发了各种游戏。其他:如何联系我们：点击右侧【企信联系】【在线IM】【电话联系】均可
103,三维动画渲染工程施工动画制作设备演示3d视频制作全息视频,服务内容全部包含:公司主从事三维可视化平台开发，VR虚拟仿真系统开发，智慧城市，建模，三维展厅及视频制作等有经验的项目领域：数据大屏、能源数据、城市管理、应急大屏、地图地块、展厅软件、教学仿真实验、智慧工厂、矿山、煤矿巷道、园区、楼宇、室内外定位、街道、社区、工地、农场、水厂、景区、文旅、校园、医疗、海域、港口、高铁站、地铁站、物流、码头、水库、车间、机房、实验室、配电房、变电站、停车场、安防、设备、车机物联等。服务优势:1.【公司团队】公司有自己的三维建模人员和3D开发人员，多年开发经验。可以完成平台UI设计、三维建模和技术开发方面的项目一站式整体交付。2.【技术栈包含】：Three.js、Typescript、Vue、Webgl、Cesium、Unity、UE、C#、Java。3.【可交付源码】4.【报价合理】最大化降低开发成本，匹配您的预算。 5.【项目管理】项目经理全程跟进，及时反馈项目进度服务前需客户提供的信息:1.需求沟通：需求文档、方案整理、达成双方需求理解上的一致。2.项目资料：模型参考、CAD文件、现场照片资料、工艺业务流程等。3.项目UI：确定UI风格、数据模块内容。4.数据接口：调试数据接口。5.项目管理：项目经理全程会保持与客户的沟通，及时反馈进度，推进完成项目交付。
104,二维动画/三维动画/Vi设计LOG0/包装设计,服务内容全部包含:业务范围：二维动画/三维动画/Vi设计LOG0/包装设计/产品手册/印刷工艺/企业手册海报设计|宣传单淘宝店装修|彩页设计|吉祥物设计|书籍设计|展板设计|/视频修剪服务优势:MM创作工作室是一家从事品牌视觉、商业空间设计、商业摄影、创意产品研发设计的专业品牌设计机构，是由一群年轻的设计师、时尚插画师组成的团队。我们热衷于从生活的细节发现真实的品牌价值，注重品牌在不同应用环境中的整体视觉传达、沟通与体验，擅长以简洁、清晰、概念的设计手段，为客户提供实效、创新的品牌解决方案，并最终协助客户达成预期的文化诉求与商业目标。服务前需客户提供的信息:完整描述客户需求做好第一时间发您审核 ，修改无限次数其他:如有新的要求，请第一时间与我们联系！！！
105,U3D制作Unity开发特效设计UE4制作效果渲染,服务内容全部包含:公司主从事三维可视化平台开发，VR虚拟仿真系统开发，智慧城市，建模，三维展厅及视频制作等有经验的项目领域：数据大屏、能源数据、城市管理、应急大屏、地图地块、展厅软件、教学仿真实验、智慧工厂、矿山、煤矿巷道、园区、楼宇、室内外定位、街道、社区、工地、农场、水厂、景区、文旅、校园、医疗、海域、港口、高铁站、地铁站、物流、码头、水库、车间、机房、实验室、配电房、变电站、停车场、安防、设备、车机物联等。服务优势:1.【公司团队】公司有自己的三维建模人员和3D开发人员，多年开发经验。可以完成平台UI设计、三维建模和技术开发方面的项目一站式整体交付。2.【技术栈包含】：Three.js、Typescript、Vue、Webgl、Cesium、Unity、UE、C#、Java。3.【可交付源码】4.【报价合理】最大化降低开发成本，匹配您的预算。 5.【项目管理】项目经理全程跟进，及时反馈项目进度服务前需客户提供的信息:1.需求沟通：需求文档、方案整理、达成双方需求理解上的一致。2.项目资料：模型参考、CAD文件、现场照片资料、工艺业务流程等。3.项目UI：确定UI风格、数据模块内容。4.数据接口：调试数据接口。5.项目管理：项目经理全程会保持与客户的沟通，及时反馈进度，推进完成项目交付。
106,企业厂区三维建模动画,服务内容全部包含:我们主要负责了企业厂区所有的建模制作，从客户提供的厂区平面图和所有细节图片，我们一比一设计三维模型，制作贴图，并且将厂区设备细节全部制作出来，包括人物建模厂区的七七一比一还原，并且制作出三维宣传动画，可以从各个方面看出厂区和设备的细节，达到了超写实的三维模型，让你可以更加的身临其境观看产区的所有细节服务优势:我们的有优势：有着超强的设计团队，设计软件maya，c4d，max，犀牛。 从原画设计，包含原画设计的版权申请，建模制作，动画制作，有着整套的制作流程。遇到工期比较紧张的，可以加班加点完成客户的要求。每个设计师都有着3-5年的设计工作经验，团队设计的经验丰富，工作可以加班加点。不中途加价，作品宣传会和客户沟通后，才会向其余的客户展示案例。服务前需客户提供的信息:需要制作的三维建模，需要客户提供产品的所有细节图片，用于的平台，制作完毕需要我们输出三维模型文件的格式要求。制作动画：需要客户提供动画的脚本，方便我们制作动画的细节。在所有的制作环节中，只要我们和客户的沟通频繁，这样制作出的作品就很精湛。一般我们提供的脚本需要确定没有任何问题，我们制作的动画就不会存在修改大的幅度，这样节省的很大的工作时长。其他:需要咱们把脚本信息明确好，方便我们制作动画，也不用来回的更改脚本，增加我们的工期时常。只要我们和客户的沟通频繁，这样制作出的作品就很精湛。
107,企业动画产品MG三维AE二维广告宣传片手绘视频定制作,服务内容全部包含:【耐斯动漫】简介【梅州市耐斯视觉设计工作室】成立自2018年，我们拥有多年全流程动漫设计经验，每年服务客户300+【服务范畴】【品牌/策划咨询】 【VI/空间全案】 【IP吉祥物全案】 【插画/漫画/绘本】【表情/动画/视频】 【文创礼盒/产品开发】，帮您重塑品牌竞争力！服务优势:自创办以来，创意遍及北上广深等多个一线城市。我们将竭诚为您提供服务，并且从客户的角度，产品的角度，市场的角度，综合分析情况，再给到相应的解决方案。设计期间，我们讲采用多对一的设计服务形式，并保持充分沟通、全程跟进，直到达到让您满意的要求！服务前需客户提供的信息:1.设计需求文档（尺寸，格式，画面需求）2.品牌方背景信息（公司名称、官网、公众号等基本信息）3.品牌方主要产品/服务说明（如果没有可不提供）4.竞品、行业基本信息（如果没有可不提供）可以将画面需求，以简单的问题提供给我们最重要的是，提供一个您喜欢的风格样图，我们将根据样图画面的复杂度，给到您报价，服务至上！！
108,木塔三维建模宣传动画,服务内容全部包含:项目为新华网的藏品建模，我们主要负责了应县木塔的建模制作，从客户提供的木塔所有细节图片，我们一比一设计三维模型，制作贴图，并且将木塔的榫卯结构细节全部制作出来，包括历史沉淀后的陈旧一比一还原，并且制作出三维旋转动画，可以从各个方面看出木塔全身的细节，达到了超写实的三维模型，让你可以更加的身临其境观看木塔的全部。服务优势:我们的有优势：有着超强的设计团队，设计软件maya，c4d，max，犀牛。 从原画设计，包含原画设计的版权申请，建模制作，动画制作，有着整套的制作流程。遇到工期比较紧张的，可以加班加点完成客户的要求。每个设计师都有着3-5年的设计工作经验，团队设计的经验丰富，工作可以加班加点。不中途加价，作品宣传会和客户沟通后，才会向其余的客户展示案例。服务前需客户提供的信息:需要制作的三维建模，需要客户提供产品的所有细节图片，用于的平台，制作完毕需要我们输出三维模型文件的格式要求。制作动画：需要客户提供动画的脚本，方便我们制作动画的细节。在所有的制作环节中，只要我们和客户的沟通频繁，这样制作出的作品就很精湛。一般我们提供的脚本需要确定没有任何问题，我们制作的动画就不会存在修改大的幅度，这样节省的很大的工作时长。其他:需要咱们把脚本信息明确好，方便我们制作动画，也不用来回的更改脚本，增加我们的工期时常。只要我们和客户的沟通频繁，这样制作出的作品就很精湛。
