id,datas,url
44,二维动画制作mg动画创意动画年会动画演示动画宣传婚礼课件,服务内容全部包含:湾流视觉作为全国性的专业数字视觉综合服务供应商，立足于视觉科技与应用行业，专注于CG应用领域，以创意为核心、市场需求为导向，主要利用计算机图形图像技术进行视觉设计和创作，将CG技术与艺术相结合，依托长期积累的技术实力和前瞻性的创意设计能力，为建筑、设计、展馆、广告、动漫、影视、文体娱乐活动等行业的客户提供涵盖CG静态、CG动态、CG视觉场景业务的数字视觉综合服务。服务优势:公司简介：公司植根于文化、文博、影视领域，一方面以影视技术为手段，为CCTV等各级媒体、企事业单位、政府部门制作纪录片、宣传片、微电影、短视频、动漫、广告等专业视频内容。 一方面以文化为底蕴，为各级博物院、考古所等科研单位制作纪录片、科普动漫片，策划设计展览空间、科普绘本、文创衍生品等。服务前需客户提供的信息:【前期沟通所需资料】①　提供项目所需要文档及资料。②　沟通项目的图片资料和解说词，乙方可以提供策划方案。③　使用场景及针对人群，解说脚本准备。④　对标参考样片及预期案例。⑤　评估预算费用及时间。⑥　公司领导验收期望结果。⑦　感谢您选择湾流动画店铺，在猪八戒平台下单。其他:服务客户：作业帮、博彦科技、今日头条、高途、绫致时装、联想（北京）、猪八戒网、小米、特斯拉、百度在线、腾讯、西贝餐饮集团、同仁堂健康、新东方、物美集团、好未来、富士康、理想汽车、快手、尚德机构……————————————————————期待您的垂询，点击右侧咨询即可联系专业营销顾问一对一服务！
45,企业三维动画制作设计mg二维宣传片视频3D施工机械医疗,服务内容全部包含:三维3D动画1、品牌推广 2、企业宣传 3、产品推广4、产品宣传 5、产品广告 6、品牌形象7、活动开场 8、政府汇报 9、工业流程10、流程讲解 11、专题记录 12、医疗设备13、政策科普 14、活动暖场 15、裸眼3D16、电商营销 17、片头演绎 18、教育课件20、展厅折幕服务优势:火鱼有十余年行业经验，成功项目数不低于2500例。拥有“品牌”“影视”“动画”三大部门，共计6类超过60项服务。服务的客户有互 联 网 ：腾讯、联想、微软 、新浪家电行业：中兴、方太电器金投行业：民生银行、光大银行、蚂蚁金服汽车行业：长城汽车、奥迪电视媒体：CCTV等众多知名企业 。同时我们的服务还遍布香港 台湾 新加坡 加拿大 澳洲等地区。服务前需客户提供的信息:技术服务的流程其实就是我们包含服务的一个顺序流程。以下为动画的制作流程，特殊动画除外。· １、剧本确认（脚本）· ２、提供样音（提供３-5个左右，供客户选择）· ３、风格确认（一般包含一张场景图＋一张角色图）· ４、分镜确认（全篇的分镜头、为设计好的静帧图）· ５、动画layout确认（最终呈现的动画）· ６、渲染 修改完善、完成项目· ７、三年的售后服务其他:动画属于定制化非标准服务，各行业之间所需制作工程量差异很大，具体报价需要联系客服详细咨询
46,ae二维mg动画制作演示流程工业企业宣传片制作三维动画,服务内容全部包含:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权代理等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、唯求满意】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提供优质的服务！！！服务优势:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权代理等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、唯求满意】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提供优质的服务！！！服务前需客户提供的信息:创立方文化传媒本部坐落于江苏省南京市，立足于猪八戒网下设多个城市分部，服务全中国。创立方成立于2012年，始终秉承【创异、创意、创益】的理念，为企业在品牌设计策划、影视动画制作、公装设计及知识产权代理等方面提供服务，为企业量身定制品牌体系。创立方始终奉行【诚信求实、致力服务、唯求满意】的企业宗旨全力跟随客户需求，不断进行产品创新和服务改进，为各位新老客户提供优质的服务！！！
47,二三维产品动画动漫设计流程MG渲染影视频制作拍摄剪辑包,服务内容全部包含:①　负责移动游戏项目（休闲类游戏）原画设计工作。②　根据需求完成美术设计工作。③　配合程序、策划、运营等人员完成游戏的设计开发工作。④　手绘能力强，能独立设计原画，角色和场景，能独立负责游戏的概念美术设计。⑤　优秀的合作能力，能与制作人，美术人员，程序，策划和运营沟通合作，能够接受有关工作的不同意见及反馈。⑥　擅长欧美画风。服务优势:1.根据策划文案完成二维原画设计；2.主要负责角色设定、角色立绘、角色插画、美宣插画；3.二次元风格优先，擅长韩风、和风、赛璐璐、伪厚涂以及国风方向优先，厚涂、写实、欧美亦可；8.项目对标范围有《阴阳师》、《百闻牌、《白夜极光》、《三国志幻想大陆》、《公主连结》、《明日方舟》等。服务前需客户提供的信息:【前期沟通所需资料】①　提供项目所需要文档及资料。②　沟通项目的图片资料和解说词，乙方可以提供策划方案。③　使用场景及针对人群，解说脚本准备。④　对标参考样片及预期案例。⑤　评估预算费用及时间。⑥　公司领导验收期望结果。⑦　感谢您选择湾流动画店铺，在猪八戒平台下单。
48,插画风动画手绘逐帧动画软件APP动画企业宣传动画广告医疗,服务内容全部包含: 亦北品牌设计是一家集品牌全案设计，产品设计，室内设计，软件培训为一体的全案的设计公司，我们致力于0到1，从logo设计，包装设计，ip设计，线上线下宣传物料等多领域的研究与实践。为近千家企业提供了good的服务并得到一致好评。多年的设计积累了丰富的设计经验和电商行业运营的洞察力服务优势:亦北设计有限公司专业服务打造 very good的企业形象，从品牌设计到产品研发，以及产品包装，电商运营，室内设计，景观设计等综合服务为一体的设计企业，坚持高质量的设计，一站式服务携手客户成为品牌的创造者。我们站在市场的角度，根据企业的品牌战略，创造出具有市场价值的设计作品服务前需客户提供的信息:亦北设计针对合作过的客户，可以提供全年的设计任务，日常设计，作图中遇到的问题，免费解决。一次合作，就可以享受拥有自己设计公司的服务体验其他:您的满意才是我们前进的动力，我们对我们的设计师拥有绝对的信任，设计满意的前提下 修改，但是修改不是我们的目的，设计出好的作品，好的设计，才是我们共赢的前提，也是我们共同成长的目的。我们希望我们的客户都可以上市，只有我们的客户足够强大，那我们才能更好的发展
49,三维产品演示工业流程安全生产3D角色建筑施工工艺投标动画,服务内容全部包含:精细高效设计团队，深耕数字动画设计行业10余年。专注3D数字动画、展馆互动多媒体、方案效果图、虚拟仿真等解决方案。工程施工动画；机械原理动画；智能制造动画；工业流程动画；产品演绎动画；地产建筑动画；事故救援动画；影片剪辑包装；flash动画；医疗三维动画；数字孪生；VR动画等。服务优势:1.知名各行业龙头企业服务经验2.主创团队来源于专业动画制作公司3.知名大学教授坐镇指导4.流程化服务，严格把控进度与质量5.项目组群实时沟通，在线交流反馈十余年行业经验成功项目数不低于1000件华为、腾讯、阿里巴巴、阿里云、京东、vivo、中科院、中国电信、中国移动、中国联通、深圳地铁、碧桂园、万科等众多知名品牌服务前需客户提供的信息:1.有关项目的文件文稿2.有关项目的图片视频素材资料3.对标参考样片及预期效果4.项目预算与制作周期需求5.使用场景及目标针对人群6.所在行业的其他特殊需求视频的用途每一条视频都有它的营销价值；清晰洞察其用途，反向定位如何制作视频更为重要。产品类型：产品手册等相关信息详情请咨询右侧客服!
50,三维建模三维动画视频制作动画制作地编模型效果图渲染,服务内容全部包含:①　负责移动游戏项目（休闲类游戏）原画设计工作。②　根据需求完成美术设计工作。③　配合程序、策划、运营等人员完成游戏的设计开发工作。④　手绘能力强，能独立设计原画，角色和场景，能独立负责游戏的概念美术设计。⑤　优秀的合作能力，能与制作人，美术人员，程序，策划和运营沟通合作，能够接受有关工作的不同意见及反馈。⑥　擅长欧美画风。服务优势:1.根据策划文案完成二维原画设计；2.主要负责角色设定、角色立绘、角色插画、美宣插画；3.二次元风格优先，擅长韩风、和风、赛璐璐、伪厚涂以及国风方向优先，厚涂、写实、欧美亦可；8.项目对标范围有《阴阳师》、《百闻牌、《白夜极光》、《三国志幻想大陆》、《公主连结》、《明日方舟》等。服务前需客户提供的信息:【前期沟通所需资料】①　提供项目所需要文档及资料。②　沟通项目的图片资料和解说词，乙方可以提供策划方案。③　使用场景及针对人群，解说脚本准备。④　对标参考样片及预期案例。⑤　评估预算费用及时间。⑥　公司领导验收期望结果。⑦　感谢您选择湾流动画店铺，在猪八戒平台下单。
51,MG动画科普视频制作flash医疗微课PPT施工三维设计,服务内容全部包含:我们拥有12年丰富的设计经验，专注于动画设计，洞察客户需求是我们的基本手册，我们拒绝廉价，只为您提供合适您的作品，让我们用动画视频为您赢得众多客户的信赖。服务优势:我们拥有12年丰富的设计经验，专注于动画设计，洞察客户需求是我们的基本手册，我们拒绝廉价，只为您提供合适您的作品，让我们用动画视频为您赢得众多客户的信赖。服务前需客户提供的信息:我们拥有12年丰富的设计经验，专注于动画设计，洞察客户需求是我们的基本手册，我们拒绝廉价，只为您提供合适您的作品，让我们用动画视频为您赢得众多客户的信赖。其他:创意动画制作流程： 1、风格初定、脚本创作：您提供相关资料，我们理解资料中相关内容开始创作脚本并和您确定一下大致风格和表现形式。脚本完成后给您确认，如脚本有问题在根据修改意见做调整，此阶段退款可退项目总费用的95%。 2、静态分镜：根据脚本中的内容，把内容形成线稿分镜画面，附上动作描述，您即可在动画制作之前了解动画制作的方案和设计思路。分镜制作期间，如果脚本有问题，可以适当做调整，但不支持翻案或大
52,MG二维逐帧flash动画广告视频制作后期*,服务内容全部包含:优恳科技有限公司是一家致力于，UI设计，游戏美术，网站与移动互联网应用产品开发的综合创新型公司，优恳团队成立于07年，优恳在八戒平台运营14年，凭借实力连续多年获奖，优恳为国内企业如中国电信，腾讯，三星电子，施耐德，国家电网等长期服务。优恳分工明确，有完整成熟科学的设计、研发、售后服务体系，我们在实践中不断学习探索，时刻与行业前沿技术同步，为客户打造高水平的服务是我们的宗旨。服务优势:优恳秉承体验设计与服务设计的理念，交付高质量ui视觉服务：❶ 移动端ui设计 ❷软件界面设计 ❸游戏ui设计 ❹ 网页设计 ❺产品策划与咨询业务咨询通过右侧：✔在线IM.✔隐私电话，✔企业微信 ，免费咨询，诚挚期待与您合作。项目完结提交内容（根据项目需求而定）：❶ 整体ui界面设计效果图❷png切图或蓝湖上传❸psd，Sketch、Figma（其中之一）优恳诚挚期待与您合作！服务前需客户提供的信息:1.整体需求介绍和描述，方便我们了解项目背景行业基本的信息，方便快速准确分析理解需求。2.提供需求文档，版本框架，需求策划，同类型参考案例，交互原型，手绘草图等。3.提供相关的资料，如vi系统，产品相关宣传册，宣传视频，照片图片资料，3d模型等以上为列出的需求资料，按照客户情况，尽可能能多提供，会提高沟通效率，降低沟通成本，得到准确的价格时间，或者初步的方案方向。其他:提醒：其他客户关心问题请查阅下面【常见问题】！
53,工业工程动画二维三维动画制作设计视频制作,服务内容全部包含:小二郎文化传媒旗下拥有“ 品牌策划运营”“影视拍摄制作”“动画动漫创作” “美术视觉设计“四大业务板块，共计7大类超过50项产品服务，为企业提供贯穿品牌宣传推广全生命周期的内容制作解决方案。我们的客户遍布全球数十个国家和地区，覆盖超过30个细分行业领域，9000＋服务经验，现已服务包括腾讯、阿里、华为、海尔、万达集团等200多家上市企业，40多家世界500强。我们的客服24小时在线，欢迎咨询~服务优势:1.品牌：上市公司供应商2.口碑：3000＋99%满意度3.服务：提供完善的售后服务体系4.硬件：电影级影视制作全套设备5.创意：构建创意星球社区，集合2000＋创意方案6.模式：“影视＋中央厨房”创作系统7.标准：打造工业化、数字化的15项标准制作流程8.文化：记录中国非遗文化，传播中华民族精神内核服务前需客户提供的信息:客户需求要求和文档其他:服务流程：需求沟通-确定商务合作-托管赏金-建立项目组-创意策划-文案撰写-素材摄制-后期制作-交付样片-调整完善-品控审核-交付成片
54,3D工业产品机械企业三维动画视频制作,服务内容全部包含:想让 鲜明彰显品牌个性？想让 在众多竞品中抢占顾客注意力？想让 被消费者快速记忆并高效识别？想让 具有抢眼的视觉符号？具体需求请点击在线咨询，24小时为您解答。服务优势:睿辰创意设计致力于IP设计、 企业吉祥物、卡通形象设计、动漫周边、MG动画设计、三维动漫设计、插画设计、LOGO、画册设计、VIS设计、包装设计、电商视觉效果图等多领域的研究与实践。 为近千家企业提供了优质的服务并得到一致好评。 多年的设计积累了丰富的设计经验和电商行业运营的洞察力。 睿辰坚持 ” 用心创造价值 ” 的理念，结合客户的需求，从优质的服务和完美的质量出发。服务前需客户提供的信息:1、为保证设计工作进展顺利，需要您将需求以文字形式表述清楚，如有喜欢的样式可一并发送给我们，我们将根据您的喜好进行设计； 2、请您提供公司logo源文件、标准vi应用（如有）、设计内容的详细资料（请以word、ppt等文档形式体现）、对接人员。详细信息您可咨询客服。
55,企业宣传片视频剪辑制作MG动画AE配音三维特效,服务内容全部包含:定制化设计 ，一对一沟通，修改不限制次数，定稿交付源文件和高清JPG图片格式，期待与您的合作，让我们为您量身定制您需要的产品设计。服务优势:思博设计团队成员都毕业于各大高校美院，设计师队伍也在不断的发展壮大 现在拥有30多名专业人才 服务于各行各业 深受好评和信赖 我们的经营理念是 用高标准的要求和高质量的作品 用心服务好每一位客户 和您一起共创辉煌服务前需客户提供的信息:具体的需求内容 包含 文字内 容 尺寸 logo 风格参考等设计所需要的素材这些 ，风格参考尤为重要，这个是能快速了解您的喜好，有助于设计师下一步的创作思路不跑偏。
56,MG动画二三维AE3D企业产品宣传片头fiash设计定,服务内容全部包含:想让 鲜明彰显品牌个性？想让 在众多竞品中抢占顾客注意力？想让 被消费者快速记忆并高效识别？想让 具有抢眼的视觉符号？具体需求请点击在线咨询，24小时为您解答。服务优势:睿辰创意设计致力于包装设计、 企业吉祥物、卡通形象设计、动漫周边、MG动画设计、三维动漫设计、插画设计、LOGO、画册设计、VIS设计、、电商视觉效果图等多领域的研究与实践。 为近千家企业提供了优质的服务并得到一致好评。 多年的设计积累了丰富的设计经验和电商行业运营的洞察力。 睿辰坚持 ” 用心创造价值 ” 的理念，结合客户的需求，从优质的服务和完美的质量出发服务前需客户提供的信息:1、为保证设计工作进展顺利，需要您将需求以文字形式表述清楚，如有喜欢的样式可一并发送给我们，我们将根据您的喜好进行设计； 2、请您提供公司logo源文件、标准vi应用（如有）、设计内容的详细资料（请以word、ppt等文档形式体现）、对接人员。详细信息您可咨询客服。
57,二维动画制作MG飞碟说企业flash广告app漫医疗设计,服务内容全部包含:服务内容全部包含:我们提供的服务主要是二维动画其包含了：MG动画手绘动画逐帧动画。服务范围：MG动画，飞碟说动画，剧情动画，广告动画，手绘动画，逐帧动画，产品演示动画动画的费用和价格，需要提前和客服沟通具体风格和时间长短定价。服务优势:服务优势:锐朗是专业的二维动画供应商，有着20余位专业设计师，保证您的出品品质。制作流程包含前期：脚本策划中期：人物绘制、场景绘制、道具绘制、分镜制作后期：配音、音效、合成售后：修改、调整、维护服务前需客户提供的信息:服务前需客户提供的信息:1.提供制作动画的参考图片和参考样片2.提供制作动画的相关文案资料请您提供详细资料（请以word、ppt等文档形式体现）、对接人员。详细信息您可咨询客服。其他:关于退款:我们原则上雇主得到一款称心如竟的作品，如果因为某种原因终止项目并目退款，我方会与库主沟通,在保持友好沟通基础上协商退款。如果初稿已出,雇主拒绝修改,需要退款,退款比例为项目总费用的50%。初稿后，如果继续修改，雇主需要退款，退款比例为项目总费用的 40%。如果修改三稿或者三稿以上要求退款,退款比例为项目总费用的 20%。退款后甲方无任何权益
58,【三维动画】三维动画制作 产品动画 建筑动画3D动画制作,服务内容全部包含:山东畅特文化传媒有限公司（简称：畅特文化传媒），是一家专业从事数字影像技术在营销领域应用开发的影视制作机构。畅特文化传媒现有业务范围涉及三维动画、产品创意动画、工业动画、设备动画、工程动画、施工动画、安装演示动画、建筑动画、医疗器械动画、工厂流水线演示动画、二维动画、政府宣传动画、企业宣传片拍摄、产品宣传片、广告片、形象片、影视制作、影视后期包装、视频制作等。 　　
59,短视抖音3D虚拟主播偶像二次元数字人动态直播特效开发,服务内容全部包含:抖音虚拟主播ai生成人工智能数字虚拟元宇宙短视频抖音3D虚拟主播虚拟主播偶像二次元数字人数字人动态捕捉直播特效开发服务优势:1 无费用出方案，不满意退款！2 7-10天交付上线，速度快，有保障，价格低！3 上百款游戏模版任选，成本更低；4 项目经理全程跟随对接，一条龙服务；5 项目实测，全程教学。一站式服务，让您解除一切后顾之忧！服务前需客户提供的信息:云创游科技是成熟的游戏开发公司之一，以实惠的价格提供端到端的游戏开发服务。我们的 50 多名团队拥有开发业内成熟游戏的经验，包括各种2D/3D游戏、NFT区块链/元宇宙游戏、AR/VR/MR游戏等。在过去的十年中，我们使用 Unity3D、cocos、Unreal、LayaBox，白鹭，Flash，Vue，nodejs，Java，PHP等成熟开发技术为移动、PC 和 Web 开发了各种游戏。其他:如何联系我们：点击右侧【企信联系】【在线IM】【电话联系】均可
60,三维动画渲染工程施工动画制作设备演示3d视频制作全息视频,服务内容全部包含:公司主从事三维可视化平台开发，VR虚拟仿真系统开发，智慧城市，建模，三维展厅及视频制作等有经验的项目领域：数据大屏、能源数据、城市管理、应急大屏、地图地块、展厅软件、教学仿真实验、智慧工厂、矿山、煤矿巷道、园区、楼宇、室内外定位、街道、社区、工地、农场、水厂、景区、文旅、校园、医疗、海域、港口、高铁站、地铁站、物流、码头、水库、车间、机房、实验室、配电房、变电站、停车场、安防、设备、车机物联等。服务优势:1.【公司团队】公司有自己的三维建模人员和3D开发人员，多年开发经验。可以完成平台UI设计、三维建模和技术开发方面的项目一站式整体交付。2.【技术栈包含】：Three.js、Typescript、Vue、Webgl、Cesium、Unity、UE、C#、Java。3.【可交付源码】4.【报价合理】最大化降低开发成本，匹配您的预算。 5.【项目管理】项目经理全程跟进，及时反馈项目进度服务前需客户提供的信息:1.需求沟通：需求文档、方案整理、达成双方需求理解上的一致。2.项目资料：模型参考、CAD文件、现场照片资料、工艺业务流程等。3.项目UI：确定UI风格、数据模块内容。4.数据接口：调试数据接口。5.项目管理：项目经理全程会保持与客户的沟通，及时反馈进度，推进完成项目交付。
